Organisation,Acronym,Groups,Country,Website,Email,Phone,Phone2,Comments
Sarvodaya EOC,,Sarvodaya,LK,,,,,
Colombo District Office,,Sarvodaya,LK,,,,,
Gampaha District Office,,Sarvodaya,LK,,,,,
Kalutara District Office,,Sarvodaya,LK,,,,,
Kandy District Office,,Sarvodaya,LK,,,,,
Matale District Office,,Sarvodaya,LK,,,,,
Nuwara Eliya District Office,,Sarvodaya,LK,,,,,
Galle District Office,,Sarvodaya,LK,,,,,
Hambantota District Office,,Sarvodaya,LK,,,,,
Matara District Office,,Sarvodaya,LK,,,,,
Ampara District Office,,Sarvodaya,LK,,,,,
Batticaloa District Office,,Sarvodaya,LK,,,,,
Trincomalee District Office,,Sarvodaya,LK,,,,,
Jaffna District Office,,Sarvodaya,LK,,,,,
Kilinochchi District Office,,Sarvodaya,LK,,,,,
Mannar District Office,,Sarvodaya,LK,,,,,
Mullaitivu District Office,,Sarvodaya,LK,,,,,
Vavuniya  District Office,,Sarvodaya,LK,,,,,
Kurunegala District Office,,Sarvodaya,LK,,,,,
Puttalam District Office,,Sarvodaya,LK,,,,,
Anuradhapura District Office,,Sarvodaya,LK,,,,,
Polonnaruwa District Office,,Sarvodaya,LK,,,,,
Kegalle District Office,,Sarvodaya,LK,,,,,
Ratnapura District Office,,Sarvodaya,LK,,,,,
Badulla District Office,,Sarvodaya,LK,,,,,
Monaragala District Office,,Sarvodaya,LK,,,,,
