uid,role,description,hidden,controller,function,table,uacl,oacl,entity
ANONYMOUS,Anonymous,Unauthenticated users,,gis,display_feature,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,geocode_r,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,hdata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,gis,ldata,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,org,facility,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,org,sites_for_org,,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,gis_location,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_facility,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_organisation,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,org_service,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,pr_occupation_type,READ,,
ANONYMOUS,Anonymous,Unauthenticated users,,,,project_project,READ,,
AUTHENTICATED,Authenticated,,,gis,location,,CREATE|READ,UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,pr,contact,,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,pr,contact_emergency,,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,doc_document,CREATE|READ,UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,gis_location,CREATE|READ,UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,hrm_human_resource,NONE,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,,inv_warehouse,READ,,
AUTHENTICATED,Authenticated,,,,,org_facility_type,READ,,
AUTHENTICATED,Authenticated,,,,,org_group,READ,,
AUTHENTICATED,Authenticated,,,,,pr_address,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_contact,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_contact_emergency,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_group,READ,,
AUTHENTICATED,Authenticated,,,,,pr_group_membership,READ,,
AUTHENTICATED,Authenticated,,,,,pr_occupation_type,READ,,
AUTHENTICATED,Authenticated,,,,,pr_occupation_type_person,CREATE|READ,UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_person,NONE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,pr_person_details,CREATE,READ|UPDATE,
AUTHENTICATED,Authenticated,,,,,pr_person_tag,CREATE,READ|UPDATE|DELETE,
AUTHENTICATED,Authenticated,,,,,usr_filter,CREATE,READ|UPDATE|DELETE,
MAP_ADMIN,,,true,gis,location,,CREATE|READ|UPDATE|DELETE,,
NEWSLETTER_AUTHOR,Newsletter Author,,,cms,newsletter,,CREATE|READ|UPDATE|DELETE,,
NEWSLETTER_AUTHOR,Newsletter Author,,,cms,newsletter,,READ|DELETE,,any
NEWSLETTER_AUTHOR,Newsletter Author,,,,,cms_newsletter,CREATE|READ|UPDATE|DELETE,,
NEWSLETTER_AUTHOR,Newsletter Author,,,,,cms_newsletter,NONE,,any
NEWSLETTER_AUTHOR,Newsletter Author,,,,,cms_newsletter_recipient,CREATE|READ|DELETE,,any
NEWSLETTER_AUTHOR,Newsletter Author,,,,,doc_document,CREATE|READ,UPDATE|DELETE,
NEWSLETTER_AUTHOR,Newsletter Author,,,,,usr_filter,,READ,
ORG_ADMIN,Organisation Admin,,,admin,user,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,cms,newsletter_recipient,,UPDATE,,
ORG_ADMIN,Organisation Admin,,,cms,read_newsletter,,READ,,any
ORG_ADMIN,Organisation Admin,,,hrm,person,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,hrm,staff,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,inv,recv,,READ|UPDATE,,
ORG_ADMIN,Organisation Admin,,,inv,recv_process,,READ|UPDATE,,
ORG_ADMIN,Organisation Admin,,,inv,send,,NONE,,
ORG_ADMIN,Organisation Admin,,,org,organisation,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,org,,,READ,,
ORG_ADMIN,Organisation Admin,,,pr,contact,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,pr,contact_emergency,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,req,req,,CREATE|READ|UPDATE|DELETE,,
ORG_ADMIN,Organisation Admin,,,req,,,READ,,
ORG_ADMIN,Organisation Admin,,,supply,item,,NONE,,
ORG_ADMIN,Organisation Admin,,,supply,item_pack,,READ,,
ORG_ADMIN,Organisation Admin,,,supply,,,NONE,,
ORG_ADMIN,Organisation Admin,,,,,cms_newsletter,READ,,any
ORG_ADMIN,Organisation Admin,,,,,cms_newsletter_recipient,READ,,
ORG_ADMIN,Organisation Admin,,,,,doc_document,CREATE|READ,UPDATE|DELETE,
