Designation,Vaccine Type,Comments
Chickenpox (Varicella),Other (Mono),
COVID-19,COVID-19 (Mono),
Diphtheria,Other (Mono),
Diphtheria-Pertussis-Tetanus,DTPa Combination,
Diphtheria-Pertussis-Tetanus-Polio,DTPa-IPV Combination,
Diphtheria-Pertussis-Tetanus-Polio-HepB-Hib,DTPa-IPV-Hib-HepB Combination,
Diphtheria-Pertussis-Tetanus-Polio-Hib,DTPa-IPV-Hib Combination,
Haemophilus influenzae Type b (Hib),Other (Mono),
Hepatitis A+B,HepA+B Combination,
Hepatitis B,Other (Mono),
Influenza,Other (Mono),
"Measles, Mumps, Rubella (MMR)",MMR Combination,
"Measles, Mumps, Rubella, Chickenpox (MMRV)",MMRV Combination,
Meningococcal Disease B,Other (Mono),
Meningococcal Disease C,Other (Mono),
Pertussis,Other (Mono),
Polio,Other (Mono),
Smallpox,Smallpox (Mono),
Tetanus,Other (Mono),
Tetanus-Diphtheria,Td Combination,
Tuberculosis,BCG (Mono),
