Type,Code,Protection,Comments
Allgemeine Infos zum Asylverfahren,,,
Anhörungsvorbereitung,HEARING,,
Arbeit und Bildung,,,
Behördenangelegenheiten,,,
Besonderer Schutzbedarf,,true,
Dokumentenbeschaffung,,,
Dublin/Drittstaatenverfahren,DUBLIN,,
Familie/Partnerschaft,,,
Finanzielles,,,
Gesundheit,,,
Kinderbetreuung/Schule,,,
Konflikte,,,
Post,,,
Psychosoziales,,,
Rechtliches,,,
Registrierung,,,
Räumliche Beschränkung,,,
Schwangerschaft/Geburt,,,
Transfer,,,
Unterbringung ,,,
Kinderschutz,CHPR,true,
