Theme,Need,Sector,Generic Need,Comments
Abschiebung,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Adressänderung,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Asylantragstellung ,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Asylantragstellung (Kind),Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
BAMF Bescheid,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
BAMF Meldebogen Schutzbedarf,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Freiwillige Ausreise,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Info bei Anerkennung,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Infos zum Asylverfahren,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Klageverfahren,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Kontakt zu Anwalt (unabhängig von Bescheid),Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Rechtliche Begleitung,Allgemeine Infos zum Asylverfahren,Asylverfahrensberatung,true,
Antrag auf Sonderanhörer,Anhörungsvorbereitung,Asylverfahrensberatung,true,
Schriftliche Infos zur Anhörung,Anhörungsvorbereitung,Asylverfahrensberatung,true,
Vorbereitung auf die Anhörung,Anhörungsvorbereitung,Asylverfahrensberatung,true,
Bescheid erhalten,BAMF-Bescheid,Asylverfahrensberatung,true,
Bescheid erhalten (Dublin),BAMF-Bescheid,Asylverfahrensberatung,true,
Dublin 0 Sonstiges / Infos,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 1 Anwalt: Vermittlung,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 2 Anwalt: Dokumente übermittelt,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 3 Anwalt: Kontaktaufnahme,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 4 Anwalt: Terminvereinbarung,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 5 Anwalt: Bezahlung,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 6 Anwalt: Schriftstück erklärt,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 7 Klage eigenständig,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 8 VG: Schriftstück erklärt,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
Dublin 9 Zweitantrag: Infos,Dublin/Drittstaatenverfahren,Asylverfahrensberatung,true,
0 Sonstiges / Infos,Asylverfahren Klage,Asylverfahrensberatung,true,
1 Anwalt: Vermittlung,Asylverfahren Klage,Asylverfahrensberatung,true,
2 Anwalt: Dokumente übermittelt,Asylverfahren Klage,Asylverfahrensberatung,true,
3 Anwalt: Kontaktaufnahme,Asylverfahren Klage,Asylverfahrensberatung,true,
4 Anwalt: Terminvereinbarung,Asylverfahren Klage,Asylverfahrensberatung,true,
5 Anwalt: Bezahlung ,Asylverfahren Klage,Asylverfahrensberatung,true,
6 Anwalt: Schriftstück erklärt,Asylverfahren Klage,Asylverfahrensberatung,true,
7 Klage eigenständig,Asylverfahren Klage,Asylverfahrensberatung,true,
8 VG: Schriftstück erklärt,Asylverfahren Klage,Asylverfahrensberatung,true,
9 Folgeantrag: Infos,Asylverfahren Klage,Asylverfahrensberatung,true,
Verlassenserlaubnis,Räumliche Beschränkung,Asylverfahrensberatung,true,
Beschulung Berufsschule,Arbeit und Bildung,Sozialberatung,true,
Beschulung Grundschule,Arbeit und Bildung,Sozialberatung,true,
Beschulung Regelschule / weiterführende Schulen,Arbeit und Bildung,Sozialberatung,true,
Bewerbungsunterlagen,Arbeit und Bildung,Sozialberatung,true,
"Infos zu Schule, Ausbildung, Arbeit",Arbeit und Bildung,Sozialberatung,true,
Integrations/Sprachkurs,Arbeit und Bildung,Sozialberatung,true,
Kindertagesstätten,Arbeit und Bildung,Sozialberatung,true,
Weiterbildung,Arbeit und Bildung,Sozialberatung,true,
Agentur für Arbeit,Behördenangelegenheiten,Sozialberatung,true,
Ausländerbehörde ,Behördenangelegenheiten,Sozialberatung,true,
BAMF,Behördenangelegenheiten,Sozialberatung,true,
Botschaft,Behördenangelegenheiten,Sozialberatung,true,
